Spaxid, N2 flux, N2 S/N, Ha flux, Ha S/N, Hb flux, Hb S/N, O3 flux, O3 S/N, S2 6717 flux, S2 6717 S/N, S2 6731 flux, S2 6731 S/N, Ha EW, AGN Flag 
587725980155183238_29_42,0.196774,16.29937304,0.530063,57.07609581,0.185987,13.56654567,0.173622,8.142491043,0.109816,16.56886053,0.0836989,12.30219817,15.154, K03_SF 
587725980155183238_30_42,0.249697,17.62835797,0.602372,56.31072728,0.211359,13.98009871,0.101196,5.388231558,0.113801,12.84988339,0.0916638,13.64283712,14.0113, K03_SF 
587725980155183238_31_42,0.233131,16.77795518,0.521921,50.01017817,0.18313,13.31306238,0.0690036,6.214914878,0.123179,25.33956997,0.0957139,15.64359537,12.6119, K03_SF 
587725980155183238_32_42,0.223991,15.94579242,0.507161,60.80187197,0.177951,13.27017893,0.0514658,4.873062294,0.114796,18.08495373,0.0846141,18.2192069,10.6251, K03_SF 
587725980155183238_33_42,0.204566,16.82415179,0.469486,55.46147991,0.164732,15.33352339,0.0393512,4.42624295,0.101948,17.26371254,0.0701164,13.92278003,11.1994, K03_SF 
587725980155183238_34_42,0.327632,15.95116607,0.773571,50.69503068,0.271429,10.0947212,0.0862941,4.001607083,0.174206,14.45527278,0.115673,10.76130405,9.40521, K03_SF 
587725980155183238_35_42,0.402099,14.91875233,0.986983,40.060481,0.34631,8.585816438,0.131994,4.04312888,0.207482,13.38420352,0.128312,8.065735384,8.41683, K03_SF 
587725980155183238_36_42,0.37731,15.94218439,0.993546,41.92466134,0.348613,11.02799603,0.0739755,1.915213981,0.194442,12.82447651,0.118301,7.496608952,8.0888, S06_SF 
587725980155183238_40_42,0.187195,12.15980179,0.516438,40.64397383,0.181206,8.719732672,0.0593177,2.968434274,0.101497,11.45136341,0.092066,9.286877235,12.0472, S06_SF 
587725980155183238_41_42,0.193551,10.63089089,0.651138,47.03830665,0.228469,7.851736735,0.150504,3.772301047,0.13058,14.32552044,0.106525,7.588895269,12.7348, S06_SF 
587725980155183238_42_42,0.18518,9.564374202,0.647919,37.74773969,0.22734,3.91692987,0.205315,4.704541819,0.112948,8.813168874,0.0992112,6.871464661,15.2966, S06_SF 
587725980155183238_43_42,0.0982548,7.587548269,0.393737,28.33066423,0.138153,5.572409648,0.108238,6.114578906,0.0753301,9.41804945,0.0615563,7.300574111,19.4264, S06_SF 
587725980155183238_44_42,0.0336754,8.509038497,0.129152,26.09393951,0.0453166,7.295243673,0.0299164,5.980030317,0.0265973,6.332646302,0.0185972,4.348640988,17.8758, S06_SF 
587725980155183238_45_42,0.0229441,6.001360895,0.0767702,15.08349023,0.0269369,5.684585704,0.0203764,4.167512803,0.024002,5.902737831,0.0163359,4.241363651,19.5484, S06_SF 
587725980155183238_46_42,0.0077889,4.522939583,0.0221081,14.8348864,0.00775724,4.56820258,0.00516987,3.076386297,0.00602428,2.985948523, nan,0.464677354,13.7348, K03_SF 
587725980155183238_47_42,0.00257385,2.468392461,0.00912599,6.044308539,0.0032021,3.099110427,0.00219276,1.911197933, nan,0.934524763,0.00126293,1.007414877,12.5797, S06_SF 
587725980155183238_48_42,0.00329031,1.788434668,0.0150173,7.824468968,0.00526924,2.909877466,0.00274321,1.273074992,0.00954841,5.926406501,0.00904911,4.371109093,27.0721, S06_SF 
587725980155183238_17_43,0.00652632,1.982815809,0.0301632,6.376877836,0.0105836,3.217503728,0.0158694,5.048286772,0.0159945,7.850565993,0.0111583,3.736971811,76.9935, S06_SF 
587725980155183238_18_43,0.0225827,4.918872015,0.0834676,19.34732965,0.0292869,6.408213857,0.067977,17.30864872,0.0225781,5.989426404,0.0148822,4.472073481,63.6274, K01_SF 
587725980155183238_19_43,0.0206087,7.989115406,0.0719802,28.44236821,0.0252562,11.02795852,0.0493815,20.19654009,0.0145265,7.844736481,0.0110429,5.022308236,46.9318, K01_SF 
587725980155183238_22_43,0.048147,12.37931428,0.24524,64.6210535,0.0860493,26.03476734,0.187494,19.44924881,0.0415048,13.55538223,0.0308935,13.11234147,61.6164, S06_SF 
587725980155183238_23_43,0.0712897,14.99936024,0.327434,70.65857716,0.114889,26.67680678,0.265503,19.90649123,0.0575536,16.73457189,0.0426682,16.52644251,49.7095, K03_SF 
587725980155183238_24_43,0.0811273,16.222602,0.33904,80.41217126,0.118962,28.21964961,0.285012,19.69349504,0.0571352,19.54335911,0.0433786,15.76907627,49.3106, K03_SF 
587725980155183238_25_43,0.0876204,19.35624996,0.343038,67.07403078,0.120364,31.47711669,0.288935,19.98933728,0.0659994,17.6992373,0.0478089,12.72444474,32.8942, K01_SF 
587725980155183238_26_43,0.0935464,15.89520917,0.358154,54.832338,0.125668,18.46889865,0.27659,18.90060184,0.0712999,15.86777802,0.0517625,9.997128433,29.8727, K01_SF 
587725980155183238_27_43,0.114168,18.1529971,0.377266,49.07914573,0.132374,16.35710818,0.236718,18.56697447,0.0800556,18.16005448,0.0564675,13.65771415,21.6407, K01_SF 
587725980155183238_28_43,0.137765,20.28017526,0.415184,73.44062003,0.145678,15.65076433,0.18038,14.25336486,0.095085,17.67674327,0.0699753,15.48211199,18.2417, K03_SF 
587725980155183238_29_43,0.193361,14.49399029,0.499726,62.13521726,0.175343,13.63418546,0.139929,9.524332372,0.111758,17.8240528,0.0807793,11.25715824,14.7642, K03_SF 
587725980155183238_30_43,0.241195,17.74221622,0.557423,50.78961787,0.195587,11.92617381,0.0812845,4.825787936,0.118227,18.78258818,0.0883431,15.74209008,13.2058, K03_SF 
587725980155183238_31_43,0.229097,16.62191043,0.507685,52.19908327,0.178135,13.35050512,0.0736865,6.160527649,0.127731,19.24096922,0.0979289,11.56120862,11.6267, K03_SF 
587725980155183238_32_43,0.245321,16.64906806,0.548175,57.93807223,0.192342,13.89691101,0.0632812,4.277610673,0.127492,16.3805033,0.101285,11.03267808,11.4222, K03_SF 
587725980155183238_33_43,0.18623,17.57852239,0.408762,51.75266826,0.143425,13.83018436,0.0410422,4.300865378,0.0921527,15.12970002,0.0666831,10.42157712,9.52208, K03_SF 
587725980155183238_34_43,0.17985,15.35040321,0.406547,44.7431861,0.142648,11.07050667,0.0342988,2.621622726,0.0892896,17.35255108,0.0583129,9.730544028,9.18037, K03_SF 
587725980155183238_35_43,0.255879,15.02681551,0.614039,30.07249172,0.215452,9.133490321,0.0534905,2.172402369,0.145897,14.3238038,0.0872261,6.549120863,8.95138, K03_SF 
587725980155183238_36_43,0.201316,14.39998219,0.48244,36.48733906,0.169277,11.38597632,0.0271232,1.830439705,0.0935948,13.10280695,0.0484099,5.653778693,8.71826, S06_SF 
587725980155183238_37_43,0.166802,13.35506043,0.455064,53.83328878,0.159671,8.972217634,0.038154,1.734819205,0.0991312,13.52505922,0.0517859,6.683577084,8.95083, S06_SF 
587725980155183238_38_43,0.115643,9.78883496,0.359438,36.08059656,0.126118,11.02517186,0.0142916,1.03174664,0.0718597,9.312629423,0.04461,7.109690204,9.37541, S06_SF 
